loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3568677604198456,0.16422836482524872,0.0,0.0009512485136741974,1,,,,,
0.43537136912345886,0.21673321723937988,4e-05,0.0019024970273483948,2,,,,,
0.3691261410713196,0.18891510367393494,8e-05,0.002853745541022592,3,,,,,
0.360984742641449,0.2102770060300827,0.00012,0.0038049940546967895,4,,,,,
0.39693620800971985,0.21880710124969482,0.00016,0.0047562425683709865,5,,,,,
0.32580333948135376,0.20102936029434204,0.0002,0.005707491082045184,6,,,,,
0.2730886936187744,0.14530876278877258,0.00019789473684210526,0.006658739595719381,7,,,,,
0.31760427355766296,0.14297570288181305,0.00019578947368421054,0.007609988109393579,8,,,,,
0.26698365807533264,0.10923348367214203,0.0001936842105263158,0.008561236623067776,9,,,,,
0.24092523753643036,0.08405213803052902,0.00019157894736842104,0.009512485136741973,10,,,,,
0.2338167428970337,0.0713363066315651,0.00018947368421052632,0.010463733650416172,11,,,,,
0.20578259229660034,0.07043924927711487,0.0001873684210526316,0.011414982164090369,12,,,,,
0.23113153874874115,0.07183966785669327,0.00018526315789473685,0.012366230677764566,13,,,,,
0.1899987906217575,0.0961703434586525,0.0001831578947368421,0.013317479191438763,14,,,,,
0.2424691617488861,0.11237107962369919,0.00018105263157894739,0.014268727705112961,15,,,,,
0.19420789182186127,0.09164205938577652,0.00017894736842105264,0.015219976218787158,16,,,,,
0.20952095091342926,0.07121668756008148,0.0001768421052631579,0.016171224732461357,17,,,,,
0.1959642469882965,0.05660958215594292,0.00017473684210526317,0.017122473246135552,18,,,,,
0.2311568409204483,0.05058329552412033,0.00017263157894736842,0.01807372175980975,19,,,,,
0.18931645154953003,0.04207967221736908,0.0001705263157894737,0.019024970273483946,20,,,,,
0.17668281495571136,0.03485614061355591,0.00016842105263157895,0.019976218787158145,21,,,,,
0.18627747893333435,0.035380393266677856,0.00016631578947368423,0.020927467300832343,22,,,,,
0.18622846901416779,0.048494648188352585,0.00016421052631578948,0.02187871581450654,23,,,,,
0.17379425466060638,0.033380553126335144,0.00016210526315789473,0.022829964328180737,24,,,,,
0.1769980788230896,0.04177698493003845,0.00016,0.023781212841854936,25,,,,,
0.18776270747184753,0.051852401345968246,0.00015789473684210527,0.02473246135552913,26,,,,,
0.16967791318893433,0.03878811001777649,0.00015578947368421052,0.02568370986920333,27,,,,,
0.2521699070930481,0.05774933099746704,0.0001536842105263158,0.026634958382877525,28,,,,,
0.3077133595943451,0.06183135509490967,0.00015157894736842108,0.027586206896551724,29,,,,,
0.16503973305225372,0.03284354507923126,0.00014947368421052633,0.028537455410225922,30,,,,,
0.1708037108182907,0.03039609268307686,0.00014736842105263158,0.029488703923900118,31,,,,,
0.20341482758522034,0.03523480147123337,0.00014526315789473686,0.030439952437574316,32,,,,,
0.2133658081293106,0.031676292419433594,0.0001431578947368421,0.03139120095124851,33,,,,,
0.22067391872406006,0.0359518900513649,0.00014105263157894736,0.032342449464922714,34,,,,,
0.1800047904253006,0.03724995255470276,0.00013894736842105264,0.03329369797859691,35,,,,,
0.20762762427330017,0.030473528429865837,0.0001368421052631579,0.034244946492271104,36,,,,,
0.2144732028245926,0.03002694807946682,0.00013473684210526317,0.035196195005945306,37,,,,,
0.15303398668766022,0.0366116464138031,0.00013263157894736842,0.0361474435196195,38,,,,,
0.20801249146461487,0.024752672761678696,0.0001305263157894737,0.0370986920332937,39,,,,,
0.1772218644618988,0.03409132733941078,0.00012842105263157895,0.03804994054696789,40,,,,,
0.17299386858940125,0.030176978558301926,0.0001263157894736842,0.039001189060642094,41,,,,,
0.17505104839801788,0.026020511984825134,0.00012421052631578949,0.03995243757431629,42,,,,,
0.19014206528663635,0.029971545562148094,0.00012210526315789474,0.040903686087990485,43,,,,,
0.1431446075439453,0.04783202335238457,0.00012,0.04185493460166469,44,,,,,
0.21517124772071838,0.030461665242910385,0.00011789473684210525,0.04280618311533888,45,,,,,
0.2492702603340149,0.02944371849298477,0.00011578947368421053,0.04375743162901308,46,,,,,
0.20950466394424438,0.030122075229883194,0.0001136842105263158,0.04470868014268728,47,,,,,
0.16868020594120026,0.02902500331401825,0.00011157894736842105,0.045659928656361475,48,,,,,
0.1775185912847519,0.025995098054409027,0.00010947368421052633,0.04661117717003567,49,,,,,
0.25770342350006104,0.0440918505191803,0.00010736842105263158,0.04756242568370987,50,,,,,
0.129751518368721,0.02801450900733471,0.00010526315789473685,0.04851367419738407,51,,,,,
0.21163970232009888,0.02758731134235859,0.00010315789473684211,0.04946492271105826,52,,,,,
0.18542145192623138,0.032194528728723526,0.00010105263157894738,0.050416171224732464,53,,,,,
0.18219389021396637,0.027252215892076492,9.894736842105263e-05,0.05136741973840666,54,,,,,
0.20623502135276794,0.02650042623281479,9.68421052631579e-05,0.052318668252080855,55,,,,,
0.2198886126279831,0.03298642858862877,9.473684210526316e-05,0.05326991676575505,56,,,,,
0.17752720415592194,0.024739708751440048,9.263157894736843e-05,0.05422116527942925,57,,,,,
0.241832435131073,0.03574560210108757,9.052631578947369e-05,0.05517241379310345,58,,,,,
0.22449354827404022,0.032531414180994034,8.842105263157894e-05,0.05612366230677764,59,,,,,
0.1335158348083496,0.029779138043522835,8.631578947368421e-05,0.057074910820451845,60,,,,,
0.23252065479755402,0.03148239478468895,8.421052631578948e-05,0.05802615933412604,61,,,,,
0.26639366149902344,0.031839512288570404,8.210526315789474e-05,0.058977407847800235,62,,,,,
0.15070532262325287,0.042827308177948,8e-05,0.05992865636147444,63,,,,,
0.13792364299297333,0.027070188894867897,7.789473684210526e-05,0.06087990487514863,64,,,,,
0.1534777581691742,0.034570302814245224,7.578947368421054e-05,0.06183115338882283,65,,,,,
0.14630469679832458,0.02582552470266819,7.368421052631579e-05,0.06278240190249702,66,,,,,
0.14817993342876434,0.031383711844682693,7.157894736842105e-05,0.06373365041617123,67,,,,,
0.18571601808071136,0.02571880631148815,6.947368421052632e-05,0.06468489892984543,68,,,,,
0.19494883716106415,0.029374010860919952,6.736842105263159e-05,0.06563614744351962,69,,,,,
0.1966996192932129,0.03486638143658638,6.526315789473685e-05,0.06658739595719382,70,,,,,
0.1654004156589508,0.036719758063554764,6.31578947368421e-05,0.06753864447086802,71,,,,,
0.23736119270324707,0.04950268194079399,6.105263157894737e-05,0.06848989298454221,72,,,,,
0.18079730868339539,0.026890039443969727,5.894736842105263e-05,0.06944114149821641,73,,,,,
0.20358514785766602,0.03263983130455017,5.68421052631579e-05,0.07039239001189061,74,,,,,
0.15920960903167725,0.025728091597557068,5.4736842105263165e-05,0.0713436385255648,75,,,,,
0.15630656480789185,0.024479053914546967,5.2631578947368424e-05,0.072294887039239,76,,,,,
0.2324676811695099,0.028732193633913994,5.052631578947369e-05,0.0732461355529132,77,,,,,
0.16811202466487885,0.02361331321299076,4.842105263157895e-05,0.0741973840665874,78,,,,,
0.22738803923130035,0.034083884209394455,4.6315789473684214e-05,0.0751486325802616,79,,,,,
0.20089054107666016,0.0291473176330328,4.421052631578947e-05,0.07609988109393578,80,,,,,
0.13154317438602448,0.02669287659227848,4.210526315789474e-05,0.07705112960760999,81,,,,,
0.21212893724441528,0.033258598297834396,4e-05,0.07800237812128419,82,,,,,
0.2403048872947693,0.031174518167972565,3.789473684210527e-05,0.07895362663495838,83,,,,,
0.2600163221359253,0.03151105344295502,3.578947368421053e-05,0.07990487514863258,84,,,,,
0.2149198353290558,0.03745013847947121,3.368421052631579e-05,0.08085612366230678,85,,,,,
0.20208406448364258,0.028985852375626564,3.157894736842105e-05,0.08180737217598097,86,,,,,
0.12484733015298843,0.031524524092674255,2.9473684210526314e-05,0.08275862068965517,87,,,,,
0.20940612256526947,0.025306526571512222,2.7368421052631583e-05,0.08370986920332937,88,,,,,
0.14625096321105957,0.03022594004869461,2.5263157894736845e-05,0.08466111771700356,89,,,,,
0.20792637765407562,0.03564675897359848,2.3157894736842107e-05,0.08561236623067776,90,,,,,
0.16963228583335876,0.02882928028702736,2.105263157894737e-05,0.08656361474435197,91,,,,,
0.15548530220985413,0.0260891355574131,1.8947368421052634e-05,0.08751486325802615,92,,,,,
0.17383359372615814,0.029654545709490776,1.6842105263157896e-05,0.08846611177170036,93,,,,,
0.20187786221504211,0.027482256293296814,1.4736842105263157e-05,0.08941736028537456,94,,,,,
0.14089247584342957,0.029047613963484764,1.2631578947368422e-05,0.09036860879904875,95,,,,,
0.1476045846939087,0.02513984777033329,1.0526315789473684e-05,0.09131985731272295,96,,,,,
0.1786157190799713,0.02372705563902855,8.421052631578948e-06,0.09227110582639715,97,,,,,
0.17449724674224854,0.022091282531619072,6.315789473684211e-06,0.09322235434007134,98,,,,,
0.17740584909915924,0.02360360324382782,4.210526315789474e-06,0.09417360285374554,99,,,,,
0.2132837176322937,0.02423687092959881,2.105263157894737e-06,0.09512485136741974,100,,,,,
,,,0.09512485136741974,100,484.5076,1.651,0.206,6219923259855360.0,0.20696658097207546
